level_0,molregno,stand_type,pchembl_value,stand_value,canonical_smiles,stand_inchi,chembl_id,tid,pref_name,index,scaffolds_murcko,scaffolds_generic,scaffolds_csk
206,2330176,IC50,8.39,5.0,Cc1c(NC(=O)c2cccc(C#N)c2)ccc2c1c(C1CCN(C(=O)C3CCCC3)CC1)cn2C,HQKLWNNRWVVUSC-UHFFFAOYSA-N,CHEMBL4290728,103982,Nuclear receptor ROR-gamma ,1,O=C(Nc1ccc2[nH]cc(C3CCN(C(=O)C4CCCC4)CC3)c2c1)c1ccccc1,CCC1CCCC(C(C)CC2CCC3C(C)CC(C4CCC(C(C)C5CCCC5)CC4)C3C2C)C1,C1CCC(CCC2CCC3CCC(C4CCC(CC5CCCC5)CC4)C3C2)CC1
207,2433168,IC50,8.4,4.0,Cc1c(C(F)(F)F)nc(-c2ccc(Cl)o2)n1-c1c(Cl)cccc1Cl,QDGOIPBUPCANLG-UHFFFAOYSA-N,CHEMBL4562740,103982,Nuclear receptor ROR-gamma ,1,c1ccc(-n2ccnc2-c2ccco2)cc1,CC1CCC(C2CC(C(C)(C)C)C(C)C2C2C(C)CCCC2C)C1,C1CCC(C2CCCC2C2CCCC2)CC1
208,1825233,IC50,7.47,34.0,CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1,YMEMKJPAOZOOFS-UHFFFAOYSA-N,CHEMBL3361048,103982,Nuclear receptor ROR-gamma ,1,O=S(=O)(NCc1ccccc1)c1ccc(N2CCNCC2)cc1,CC(C)CC(CC1CCCCC1C(C)(C)C)C(C)(C)C1CCC(C2CCC(C(C)(C)C)CC2)CC1,C1CCC(CCCC2CCC(C3CCCCC3)CC2)CC1
209,2479182,IC50,8.44,3.6,CC[C@H](NS(=O)(=O)c1ccc(-c2sc(-c3nnc(CC(C)(C)C(=O)O)o3)nc2CC2CCCCC2)c(C(F)F)c1F)C(F)(F)F,ZHSFCHXKHOJYIG-SFHVURJKSA-N,CHEMBL4642631,103982,Nuclear receptor ROR-gamma ,1,c1ccc(-c2sc(-c3nnco3)nc2CC2CCCCC2)cc1,CCC(CC(C)(C)C1CCC(C2CC(C3CCC(CC(C)(C)C(C)C)C3)CC2CC2CCCCC2)C(C(C)C)C1C)C(C)(C)C,C1CCC(CC2CC(C3CCCC3)CC2C2CCCCC2)CC1
210,1947589,IC50,7.12,76.0,CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccccc3F)c(F)c2)CC1,PLTWNWYEZOBWGN-UHFFFAOYSA-N,CHEMBL3581532,103982,Nuclear receptor ROR-gamma ,1,O=S(=O)(c1ccccc1)N(Cc1ccc(N2CCNCC2)cc1)C1CCC1,CC(C)C1CCC(C2CCC(CC(C3CCC3)C(C)(C)C3CCCCC3C)C(C)C2)CC1,C1CCC(CC(CC2CCC(C3CCCCC3)CC2)C2CCC2)CC1
211,2163489,IC50,7.04,91.0,CC[C@]1(C(=O)N2CC[C@](c3ccc(C(O)(C(F)(F)F)C(F)(F)F)c(F)c3)(S(=O)(=O)c3ccc(F)cc3)C2)CC[C@H](C(=O)O)CC1,DTAUPXDFUSPIII-ODKGLIOUSA-N,CHEMBL3954118,103982,Nuclear receptor ROR-gamma ,1,O=C(C1CCCCC1)N1CCC(c2ccccc2)(S(=O)(=O)c2ccccc2)C1,CCC1(C(C)C2CCC(C3CCC(C(C)(C(C)(C)C)C(C)(C)C)C(C)C3)(C(C)(C)C3CCC(C)CC3)C2)CCC(C(C)C)CC1,C1CCC(CC2CCC(CC3CCCCC3)(C3CCCCC3)C2)CC1
212,2316989,IC50,7.52,30.0,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)(C)C(=O)N(C)C)cc2)cc1,XDNHZEZVJTXHGD-UHFFFAOYSA-N,CHEMBL4277538,103982,Nuclear receptor ROR-gamma ,1,O=C(Cc1ccccc1)Nc1ccccc1,CCC(C)(C)C1CCC(CC(C)CC2CCC(C(C)(C)C(C)C(C)C)CC2)CC1,C1CCC(CCCC2CCCCC2)CC1
213,2141345,IC50,7.17,68.0,O=C(N1CCC(C(=O)O)(C(F)(F)F)CC1)N1CC[C@](c2ccc(C(OCc3c(F)cccc3F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,JBNYWYXPKQRUGY-PMERELPUSA-N,CHEMBL3931974,103982,Nuclear receptor ROR-gamma ,1,O=C(N1CCCCC1)N1CCC(c2ccc(COCc3ccccc3)cc2)(S(=O)(=O)c2ccccc2)C1,CC1CCC(C(C)(C)C2(C3CCC(C(CCC4C(C)CCCC4C)(C(C)(C)C)C(C)(C)C)CC3)CCC(C(C)C3CCC(C(C)C)(C(C)(C)C)CC3)C2)CC1,C1CCC(CCCC2CCC(C3(CC4CCCCC4)CCC(CC4CCCCC4)C3)CC2)CC1
214,2149271,IC50,7.33,47.0,CC(C)CN(Cc1ccc(N2CCC3(CC2)COC3)cc1)S(=O)(=O)Cc1ccccc1,ONDKOAPUGQPDON-UHFFFAOYSA-N,CHEMBL3939900,103982,Nuclear receptor ROR-gamma ,1,O=S(=O)(Cc1ccccc1)NCc1ccc(N2CCC3(CC2)COC3)cc1,CC(C)CC(CC1CCC(C2CCC3(CCC3)CC2)CC1)C(C)(C)CC1CCCCC1,C1CCC(CCCCC2CCC(C3CCC4(CCC4)CC3)CC2)CC1
215,1963637,IC50,7.3,50.0,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1c(F)cccc1F,FVZFZUZUHQAGGY-UHFFFAOYSA-N,CHEMBL3617295,103982,Nuclear receptor ROR-gamma ,1,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccccc1)CCC2)c1ccccc1,CC1CCC(C(C)(C)C2CCCC3CCC(CC(C)C4C(C)CCCC4C)CC32)CC1,C1CCC(CCC2CCC3CCCC(CC4CCCCC4)C3C2)CC1
216,1955034,IC50,8.19,6.4,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2CC2CC2)cc1N1CC2CC2C1,OLKVAPHBBJHGSH-BMSJAHLVSA-N,CHEMBL3598074,103982,Nuclear receptor ROR-gamma ,1,O=C(Nc1ccc(-c2ccnn2CC2CC2)cc1N1CC2CC2C1)c1ccccc1,[2H]C([2H])([2H])C(C(C)C1C(C)CCCC1C)C1CCC(C2CC(CC(C)C)CC2CC2CC2)CC1C1CC2CC2C1,C1CCC(CCC2CCC(C3CCCC3CC3CC3)CC2C2CC3CC3C2)CC1
217,2270013,IC50,7.506666666666666,10.0,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCc3ccc(C#N)cc3)cs2)cc1,SJMLJHQZHJCSFY-UHFFFAOYSA-N,CHEMBL4166982,103982,Nuclear receptor ROR-gamma ,1,O=C(Cc1ccccc1)Nc1cc(-c2cccnc2OCc2ccccc2)cs1,CCC1CCC(CCC2CCCCC2C2CCC(CC(C)CC3CCC(C(C)(C)CC)CC3)C2)CC1,C1CCC(CCCC2CCC(C3CCCCC3CCC3CCCCC3)C2)CC1
218,2475963,IC50,7.48,33.0,CC[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCCN3CCOCC3)nc2C(=O)N2CCC(F)CC2)c(Cl)c1Cl)C(F)(F)F,DCTMIGSURROPEC-SFHVURJKSA-N,CHEMBL4639405,103982,Nuclear receptor ROR-gamma ,1,O=C(NCCN1CCOCC1)c1nc(C(=O)N2CCCCC2)c(-c2ccccc2)s1,CCC(CC(C)(C)C1CCC(C2CC(C(C)CCCC3CCCCC3)CC2C(C)C2CCC(C)CC2)C(C)C1C)C(C)(C)C,C1CCC(CCCCC2CC(CC3CCCCC3)C(C3CCCCC3)C2)CC1
219,2135484,IC50,7.39,41.0,CN1CCC(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1=O,RYWZGYXQNDSTOP-QOWRFBDLSA-N,CHEMBL3926113,103982,Nuclear receptor ROR-gamma ,1,O=C1CC(C(=O)N2CCC(c3ccc(COCc4ccccc4)cc3)(S(=O)(=O)c3ccccc3)C2)CCN1,CC1CCC(C(C)(C)C2(C3CCC(C(CCC4C(C)CCCC4C)(C(C)(C)C)C(C)(C)C)CC3)CCC(C(C)C3CCC(C)C(C)C3)C2)CC1,C1CCC(CCCC2CCC(C3(CC4CCCCC4)CCC(CC4CCCCC4)C3)CC2)CC1
220,1825234,IC50,8.04,9.2,CC(=O)N1CCN(c2ccc(S(=O)(=O)N(Cc3ccccc3C(F)(F)F)CC(C)C)cc2)CC1,PZYGNMWOOHESPU-UHFFFAOYSA-N,CHEMBL3361049,103982,Nuclear receptor ROR-gamma ,1,O=S(=O)(NCc1ccccc1)c1ccc(N2CCNCC2)cc1,CC(C)CC(CC1CCCCC1C(C)(C)C)C(C)(C)C1CCC(C2CCC(C(C)C)CC2)CC1,C1CCC(CCCC2CCC(C3CCCCC3)CC2)CC1
221,2196365,IC50,7.12,75.0,COC(=O)N1CCC(c2ccc(C(OCc3c(F)cccc3F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,OJBRTFLFQNWABZ-UHFFFAOYSA-N,CHEMBL3986994,103982,Nuclear receptor ROR-gamma ,1,O=S(=O)(c1ccccc1)C1(c2ccc(COCc3ccccc3)cc2)CCNC1,CCC(C)C1CCC(C2CCC(C(CCC3C(C)CCCC3C)(C(C)(C)C)C(C)(C)C)CC2)(C(C)(C)C2CCC(C)CC2)C1,C1CCC(CCCC2CCC(C3(CC4CCCCC4)CCCC3)CC2)CC1
222,2166688,IC50,7.18,66.0,C#CC(O)(c1ccc2nc(OC)c(Cc3ccc(C(F)(F)F)cc3)c(Cl)c2c1)c1cnc(C)n1C,ACZQKZSCRWXAGR-UHFFFAOYSA-N,CHEMBL3957317,103982,Nuclear receptor ROR-gamma ,1,c1ccc(Cc2cnc3ccc(Cc4cnc[nH]4)cc3c2)cc1,CCC1CC2CCC(C(C)(CC)C3CCC(C)C3C)CC2C(C)C1CC1CCC(C(C)(C)C)CC1,C1CCC(CC2CCC3CCC(CC4CCCC4)CC3C2)CC1
223,2171616,IC50,7.09,82.0,O=C(O)[C@H]1[C@@H]2C[C@@H](C(=O)N3CC[C@](c4ccc(C(F)(C(F)(F)F)C(F)(F)F)cc4)(S(=O)(=O)c4ccc(F)cc4)C3)C[C@@H]21,HNOZQRKROBDUDI-LPSQLEIASA-N,CHEMBL3962245,103982,Nuclear receptor ROR-gamma ,1,O=C(C1CC2CC2C1)N1CCC(c2ccccc2)(S(=O)(=O)c2ccccc2)C1,CC1CCC(C(C)(C)C2(C3CCC(C(C)(C(C)(C)C)C(C)(C)C)CC3)CCC(C(C)C3CC4C(C3)C4C(C)C)C2)CC1,C1CCC(CC2(C3CCCCC3)CCC(CC3CC4CC4C3)C2)CC1
224,2474378,IC50,7.96,11.0,CC1CCN(C(=O)c2nc(C(=O)NCC(C)(C)O)sc2-c2ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(Cl)c2Cl)CC1,FKJLBGFVTVIOSH-ZDUSSCGKSA-N,CHEMBL4637820,103982,Nuclear receptor ROR-gamma ,1,O=C(c1ncsc1-c1ccccc1)N1CCCCC1,CC1CCC(C(C)C2CC(C(C)CCC(C)(C)C)CC2C2CCC(C(C)(C)CC(C)C(C)(C)C)C(C)C2C)CC1,C1CCC(CC2CCCC2C2CCCCC2)CC1
225,2121964,IC50,7.34,46.0,O=C(O)c1ccc(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)cc1,GULWTLRXELGHTF-HKBQPEDESA-N,CHEMBL3912593,103982,Nuclear receptor ROR-gamma ,1,O=C(c1ccccc1)N1CCC(c2ccc(COCc3ccccc3)cc2)(S(=O)(=O)c2ccccc2)C1,CC1CCC(C(C)(C)C2(C3CCC(C(CCC4C(C)CCCC4C)(C(C)(C)C)C(C)(C)C)CC3)CCC(C(C)C3CCC(C(C)C)CC3)C2)CC1,C1CCC(CCCC2CCC(C3(CC4CCCCC4)CCC(CC4CCCCC4)C3)CC2)CC1
226,2126942,IC50,7.8,16.0,Cc1cc(S(=O)(=O)[C@@]2(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)CCN(C(=O)[C@H]3CC[C@H](C(=O)O)CC3)C2)ccc1F,FOMZHKMHJLHIQZ-RPPIVITFSA-N,CHEMBL3917571,103982,Nuclear receptor ROR-gamma ,1,O=C(C1CCCCC1)N1CCC(c2ccccc2)(S(=O)(=O)c2ccccc2)C1,CC(C)C1CCC(C(C)C2CCC(C3CCC(C(C)(C(C)(C)C)C(C)(C)C)CC3)(C(C)(C)C3CCC(C)C(C)C3)C2)CC1,C1CCC(CC2CCC(CC3CCCCC3)(C3CCCCC3)C2)CC1
227,2378945,IC50,7.72,19.0,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(F)(F)CC1,LIVLLUXPXNXFRM-UHFFFAOYSA-N,CHEMBL4471936,103982,Nuclear receptor ROR-gamma ,1,c1cncc(C(c2ccc3ncc(CN4CCCCC4)cc3c2)c2cnn[nH]2)c1,CCC1CC2CCC(C(C)(C3CCCC3C)C3CCC(C)CC3C)CC2C(C)C1CC1CCC(C)(C)CC1,C1CCC(CC2CCC3CCC(C(C4CCCCC4)C4CCCC4)CC3C2)CC1
228,2159208,IC50,7.0,100.0,CN(c1ccccc1)c1c(Cl)nc2ccc(C(O)(c3cccnc3)c3cccc(Cl)c3)cc2c1Cl,CXISRSBZHJUAJP-UHFFFAOYSA-N,CHEMBL3949837,103982,Nuclear receptor ROR-gamma ,1,c1ccc(Nc2cnc3ccc(C(c4ccccc4)c4cccnc4)cc3c2)cc1,CC1CCCC(C(C)(C2CCCCC2)C2CCC3CC(C)C(C(C)C4CCCCC4)C(C)C3C2)C1,C1CCC(CC2CCC3CCC(C(C4CCCCC4)C4CCCCC4)CC3C2)CC1
229,1955006,IC50,7.27,54.0,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1OC1CC2CC2C1,AXCUJSHCDDRIJE-GKOSEXJESA-N,CHEMBL3598046,103982,Nuclear receptor ROR-gamma ,1,O=C(Nc1ccc(-c2ccn[nH]2)cc1OC1CC2CC2C1)c1ccccc1,[2H]C([2H])([2H])C(C(C)C1C(C)CCCC1C)C1CCC(C2CC(CC(C)C)CC2C(C)C)CC1CC1CC2CC2C1,C1CCC(CCC2CCC(C3CCCC3)CC2CC2CC3CC3C2)CC1
230,2288091,IC50,7.905,4.1,COc1ccc2c(c1)CCN(C(=O)/C=C/C(=O)O)[C@H]2C(=O)Nc1cc(F)c([Si](C)(C)C)c(F)c1,HZWNTEIKOIMAGC-VQKOGROQSA-N,CHEMBL4209940,103982,Nuclear receptor ROR-gamma ,1,O=C(Nc1ccccc1)C1NCCc2ccccc21,CCC1CCC2C(CCC(C(C)CCC(C)C)C2C(C)CC2CC(C)C(C(C)(C)C)C(C)C2)C1,C1CCC(CCC2CCCC3CCCCC32)CC1
231,2403876,IC50,7.32,48.0,CC(C)Oc1cccc(Cl)c1C(=O)n1nc(-c2ccc(C(=O)O)cc2)c2ccccc21,LZEALWNSGYDRAC-UHFFFAOYSA-N,CHEMBL4533445,103982,Nuclear receptor ROR-gamma ,1,O=C(c1ccccc1)n1nc(-c2ccccc2)c2ccccc21,CC(C)CC1CCCC(C)C1C(C)C1CC(C2CCC(C(C)C)CC2)C2CCCCC12,C1CCC(CC2CC(C3CCCCC3)C3CCCCC23)CC1
232,2258973,IC50,8.74,1.8,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12)C(F)(F)F,ZDBJECNSNPXCFS-WDSOQIARSA-N,CHEMBL4127282,103982,Nuclear receptor ROR-gamma ,1,O=C(NC1CCC1)c1nc(CC2CCCCC2)c(-c2cccc3ccccc23)s1,CC(C)C1CC(CC(C)C2CC(CC3CCCCC3)C(C3CCC(C(C)(C)CC(C)C(C)(C)C)C4CCCCC34)C2)C1,C1CCC(CC2CC(CCC3CCC3)CC2C2CCCC3CCCCC32)CC1
233,2571271,IC50,7.23,59.0,CC(=O)N1Cc2cc(S(=O)(=O)CC3CC3)ccc2C1C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,KEKPYTHQPDLLDE-UHFFFAOYSA-N,CHEMBL4877500,103982,Nuclear receptor ROR-gamma ,1,O=C(Nc1ccccc1)C1NCc2cc(S(=O)(=O)CC3CC3)ccc21,CC(C)C1CC2CC(C(C)(C)CC3CC3)CCC2C1C(C)CC1CCC(C(C)(C(C)(C)C)C(C)(C)C)CC1,C1CCC(CCC2CCC3CC(CCC4CC4)CCC23)CC1
234,2474076,IC50,7.43,37.0,CCN(CCCF)C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(Cl)c1Cl,SNXLPFAADBEOGS-LBPRGKRZSA-N,CHEMBL4637518,103982,Nuclear receptor ROR-gamma ,1,c1ccc(-c2cncs2)cc1,CCCCC(CC)C(C)C1CC(C(C)CCC(C)(C)C)CC1C1CCC(C(C)(C)CC(C)C(C)(C)C)C(C)C1C,C1CCC(C2CCCC2)CC1
235,2152454,IC50,7.41,39.0,CC(=O)N1CCN(C(=O)N2CC[C@](c3ccc(C(OC(C)C)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,CESLHKAEVSNDCC-SANMLTNESA-N,CHEMBL3943083,103982,Nuclear receptor ROR-gamma ,1,O=C(N1CCNCC1)N1CCC(c2ccccc2)(S(=O)(=O)c2ccccc2)C1,CC(C)CC(C1CCC(C2(C(C)(C)C3CCC(C)CC3)CCC(C(C)C3CCC(C(C)C)CC3)C2)CC1)(C(C)(C)C)C(C)(C)C,C1CCC(CC2CCC(CC3CCCCC3)(C3CCCCC3)C2)CC1
236,1955005,IC50,7.12,76.0,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1OCC(C)C,FULLABAUEBBPKT-UNLAWSRZSA-N,CHEMBL3598045,103982,Nuclear receptor ROR-gamma ,1,O=C(Nc1ccc(-c2ccn[nH]2)cc1)c1ccccc1,[2H]C([2H])([2H])C(C(C)C1C(C)CCCC1C)C1CCC(C2CC(CC(C)C)CC2C(C)C)CC1CCC(C)C,C1CCC(CCC2CCC(C3CCCC3)CC2)CC1
237,2223739,IC50,8.13,3.2,COc1ccc2c(n1)CCN(C(=O)CCCC(=O)O)[C@H]2C(=O)Nc1cc(F)c([Si](C)(C)C)c(F)c1,CNNCIDTWYVJYHT-JOCHJYFZSA-N,CHEMBL4083828,103982,Nuclear receptor ROR-gamma ,1,O=C(Nc1ccccc1)C1NCCc2ncccc21,CCC1CCC2C(CCC(C(C)CCCC(C)C)C2C(C)CC2CC(C)C(C(C)(C)C)C(C)C2)C1,C1CCC(CCC2CCCC3CCCCC32)CC1
238,2278711,IC50,7.77,17.0,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCCCc3ccccc3)cs2)cc1,MUYWYPLCIQMGOJ-UHFFFAOYSA-N,CHEMBL4175680,103982,Nuclear receptor ROR-gamma ,1,O=C(Cc1ccccc1)Nc1cc(-c2cccnc2OCCCc2ccccc2)cs1,CCC(C)(C)C1CCC(CC(C)CC2CCC(C3CCCCC3CCCCC3CCCCC3)C2)CC1,C1CCC(CCCCC2CCCCC2C2CCC(CCCC3CCCCC3)C2)CC1
239,1613785,IC50,7.8,15.85,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(C#N)c3)c(C(=O)c3ccccc3)s2)cc1,TYLLBTUIUGVOQR-UHFFFAOYSA-N,CHEMBL3105691,103982,Nuclear receptor ROR-gamma ,1,O=C(Cc1ccccc1)Nc1cc(-c2ccccc2)c(C(=O)c2ccccc2)s1,CCC1CCCC(C2CC(CC(C)CC3CCC(C(C)(C)CC)CC3)CC2C(C)C2CCCCC2)C1,C1CCC(CCCC2CC(CC3CCCCC3)C(C3CCCCC3)C2)CC1
240,2316899,IC50,7.315,37.0,CC(C)C(=O)N1CCC(c2cn(C)c3ncc(NC(=O)c4cccc(C#N)c4)c(C(C)C)c23)CC1,VKHJHMGXGFNKOI-UHFFFAOYSA-N,CHEMBL4277448,103982,Nuclear receptor ROR-gamma ,1,O=C(Nc1cnc2[nH]cc(C3CCNCC3)c2c1)c1ccccc1,CCC1CCCC(C(C)CC2CCC3C(C)CC(C4CCC(C(C)C(C)C)CC4)C3C2C(C)C)C1,C1CCC(CCC2CCC3CCC(C4CCCCC4)C3C2)CC1
241,1511169,IC50,7.02,96.0,COc1ccc(C(CC(=O)N2CC(C)CC(C)C2)c2c(O)cc(OC)cc2OC)cc1,GOUYMHDDFNCEJM-UHFFFAOYSA-N,CHEMBL2312126,103982,Nuclear receptor ROR-gamma ,1,O=C(CC(c1ccccc1)c1ccccc1)N1CCCCC1,CCC1CCC(C(CC(C)C2CC(C)CC(C)C2)C2C(C)CC(CC)CC2CC)CC1,C1CCC(CCC(C2CCCCC2)C2CCCCC2)CC1
242,2259456,IC50,8.05,8.9,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC34CC(C(=O)O)(C3)C4)nc2CC2CCCCC2)c2ccccc12,IXZNFUVIMHGHCV-UHFFFAOYSA-N,CHEMBL4127765,103982,Nuclear receptor ROR-gamma ,1,O=C(NC12CC(C1)C2)c1nc(CC2CCCCC2)c(-c2cccc3ccccc23)s1,CC(CC12CC(C(C)C)(C1)C2)C1CC(CC2CCCCC2)C(C2CCC(C(C)(C)CC(C)(C)C)C3CCCCC23)C1,C1CCC(CC2CC(CCC34CC(C3)C4)CC2C2CCCC3CCCCC32)CC1
243,1782475,IC50,7.44,29.0,CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccccc3)cc2)CC1,KIHDXHLXSMPQSN-UHFFFAOYSA-N,CHEMBL3317836,103982,Nuclear receptor ROR-gamma ,1,O=S(=O)(Cc1ccccc1)N(Cc1ccc(N2CCNCC2)cc1)C1CCC1,CC(C)C1CCC(C2CCC(CC(C3CCC3)C(C)(C)CC3CCCCC3)CC2)CC1,C1CCC(CCC(CC2CCC(C3CCCCC3)CC2)C2CCC2)CC1
244,2539830,IC50,7.22,60.0,CS(=O)(=O)c1ccc2c(c1)CN(C(=O)C1CCO1)C2C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,OAMVXQJATLBRNV-UHFFFAOYSA-N,CHEMBL4846059,103982,Nuclear receptor ROR-gamma ,1,O=C(Nc1ccccc1)C1c2ccccc2CN1C(=O)C1CCO1,CC(CC1CCC(C(C)(C(C)(C)C)C(C)(C)C)CC1)C1C2CCC(C(C)(C)C)CC2CC1C(C)C1CCC1,C1CCC(CCC2C(CC3CCC3)CC3CCCCC32)CC1
245,2168725,IC50,7.0,99.0,CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3cccc(C(F)(F)F)c3)c(F)c2)CC1,XWYXBTHVJRKKPB-UHFFFAOYSA-N,CHEMBL3959354,103982,Nuclear receptor ROR-gamma ,1,O=S(=O)(c1ccccc1)N(Cc1ccc(N2CCNCC2)cc1)C1CCC1,CC(C)C1CCC(C2CCC(CC(C3CCC3)C(C)(C)C3CCCC(C(C)(C)C)C3)C(C)C2)CC1,C1CCC(CC(CC2CCC(C3CCCCC3)CC2)C2CCC2)CC1
246,2122177,IC50,7.4,40.0,CC(=O)N1CCN(C(=O)N2CC[C@](c3ccc(C(O)(C(F)(F)F)C(F)(F)F)c(F)c3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,TXUUYKMUZDUGRM-QHCPKHFHSA-N,CHEMBL3912806,103982,Nuclear receptor ROR-gamma ,1,O=C(N1CCNCC1)N1CCC(c2ccccc2)(S(=O)(=O)c2ccccc2)C1,CC1CCC(C(C)(C)C2(C3CCC(C(C)(C(C)(C)C)C(C)(C)C)C(C)C3)CCC(C(C)C3CCC(C(C)C)CC3)C2)CC1,C1CCC(CC2CCC(CC3CCCCC3)(C3CCCCC3)C2)CC1
247,2498379,IC50,7.96,11.0,Cc1ncnc(C2CC2)c1-c1ncc2nc(NCc3ccc(S(C)(=O)=O)cc3)c(=O)n([C@@H](C)C3CC3)c2n1,GPNYIKJLEGXDIU-INIZCTEOSA-N,CHEMBL4751042,103982,Nuclear receptor ROR-gamma ,1,O=c1c(NCc2ccccc2)nc2cnc(-c3cncnc3C3CC3)nc2n1CC1CC1,CC1CCCC(C2CC2)C1C1CCC2CC(CCC3CCC(C(C)(C)C)CC3)C(C)C(C(C)C3CC3)C2C1,C1CCC(CCC2CC3CCC(C4CCCCC4C4CC4)CC3C(CC3CC3)C2)CC1
248,2504850,IC50,7.82,15.0,CCC[C@@H](C)n1c(=O)c(NCc2ccc(S(=O)(=O)CC)cn2)nc2cnc(-c3c(OC)ncnc3C3CC3)nc21,ZVGRJZNOZHYTFO-MRXNPFEDSA-N,CHEMBL4757513,103982,Nuclear receptor ROR-gamma ,1,O=c1[nH]c2nc(-c3cncnc3C3CC3)ncc2nc1NCc1ccccn1,CCCC(C)C1C(C)C(CCC2CCC(C(C)(C)CC)CC2)CC2CCC(C3C(CC)CCCC3C3CC3)CC21,C1CCC(CCC2CCC3CC(C4CCCCC4C4CC4)CCC3C2)CC1
249,2128945,IC50,7.19,65.0,O=C(N1CCC(O)(CO)CC1)N1CC[C@](c2ccc(C(OCc3c(F)cccc3F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,FXMLQXDXQIEROZ-PMERELPUSA-N,CHEMBL3919574,103982,Nuclear receptor ROR-gamma ,1,O=C(N1CCCCC1)N1CCC(c2ccc(COCc3ccccc3)cc2)(S(=O)(=O)c2ccccc2)C1,CCC1(C)CCC(C(C)C2CCC(C3CCC(C(CCC4C(C)CCCC4C)(C(C)(C)C)C(C)(C)C)CC3)(C(C)(C)C3CCC(C)CC3)C2)CC1,C1CCC(CCCC2CCC(C3(CC4CCCCC4)CCC(CC4CCCCC4)C3)CC2)CC1
250,2105766,IC50,7.04,92.0,O=C(CO)N1CCC(c2ccc(C(OCc3c(F)cccc3F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,PJVKUPPCXVLLEH-UHFFFAOYSA-N,CHEMBL3896395,103982,Nuclear receptor ROR-gamma ,1,O=S(=O)(c1ccccc1)C1(c2ccc(COCc3ccccc3)cc2)CCNC1,CCC(C)C1CCC(C2CCC(C(CCC3C(C)CCCC3C)(C(C)(C)C)C(C)(C)C)CC2)(C(C)(C)C2CCC(C)CC2)C1,C1CCC(CCCC2CCC(C3(CC4CCCCC4)CCCC3)CC2)CC1
